lat;lng;name;portsCount;portsComment
50.492387;30.494096;TOKA #343 Luxoptika (проспект Степана Бандери, 21Б, Київ);3;\n        \n         Type 2 Plug - вільний - 100.00 ₴/⚡ Type 2 Plug - вільний - 100.00 ₴/⚡ Type 2 - вільний - 100.00 ₴/⚡
50.446178;30.544782;TOKA #389 Summit (м. Київ, вул. Михайла Грушевського, 9-Б);3;\n        \n         Type 2 Plug - вільний - 0.00 ₴/⚡ Type 2 Plug - вільний - 0.00 ₴/⚡ Type 2 Plug - вільний - 0.00 ₴/⚡
50.446171;30.544782;TOKA #388 Summit (м. Київ, вул. Михайла Грушевського, 9-Б);3;\n        \n         Type 2 Plug - вільний - 0.00 ₴/⚡ Type 2 Plug - зайнятий - 0.00 ₴/⚡ Type 2 Plug - зайнятий - 0.00 ₴/⚡
50.446087;30.544819;TOKA #387 Summit (м. Київ, вул. Михайла Грушевського, 9-Б);2;\n        \n         Type 2 Plug - вільний - 12.99 ₴/⚡ Type 1 - вільний - 12.99 ₴/⚡
50.431528;30.485401;FASTER #347 Kudryashova (м. Київ, вул. Кудряшова, 16);3;\n        \n         Type 2 - вільний - 12.99 ₴/⚡ Type 1 - зайнятий - 12.99 ₴/⚡ Type 1 - зайнятий - 12.99 ₴/⚡
50.4581;30.458663;TOKA #348 Oberig clinic (м. Київ, вул. Зоологічна, 3-Г);2;\n        \n         Type 2 - вільний - 12.99 ₴/⚡ Type 2 - вільний - 12.99 ₴/⚡
50.433704;30.506559;TOKA #349 Platforma Korolenkivska (м. Київ, вул. Короленківська, буд. 3);3;\n        \n         Type 2 - вільний - 12.99 ₴/⚡ Type 2 - вільний - 12.99 ₴/⚡ Type 2 - вільний - 12.99 ₴/⚡
50.433704;30.506559;TOKA #350 Platforma Korolenkivska (м. Київ, вул. Короленківська, буд. 3);3;\n        \n         Type 2 - вільний - 12.99 ₴/⚡ Type 2 - вільний - 12.99 ₴/⚡ Type 2 - вільний - 12.99 ₴/⚡
50.412775;30.526451;FASTER #354 Bon Bazar (м. Київ, вул. Велика Васильківська, 143/2);3;\n        \n         Type 2 - вільний - 12.99 ₴/⚡ Type 1 - вільний - 12.99 ₴/⚡ Type 1 - вільний - 12.99 ₴/⚡
50.514725;30.492247;FASTER #355 EKO-market (м. Київ, вул. Зої Гайдай, 2);3;\n        \n         Type 2 - вільний - 12.99 ₴/⚡ Type 1 - вільний - 12.99 ₴/⚡ Type 1 - вільний - 12.99 ₴/⚡
50.481687;30.49462;TOKA #359 FARMAK (вул. Чорноморська,  буд. 4 , м. Київ);1;\n        \n         Type 2 Plug - вільний - 0.00 ₴/⚡
